店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
やすらぎ,東新宿駅B3出口,東京都新宿区大久保2丁目1-9,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/5e9f7dfb-0e21-40e6-b629-f8873c2a444e/,http://vmoth.com/yasuragi/,東新宿駅B3出口徒歩1分,090-7049-0335,24時間営業
虹華～IROHA～,西武新宿駅北口,東京都新宿区歌舞伎町２丁目４５−７,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/4797a806-8ad8-4878-8976-4b34d9c6002c/,https://shinjuku-esthe.salon/,アクセス欄に住所あり,03-6457-3507,24時間営業
アジアンフィーリング,西武新宿駅,"タイ古式マッサージ アジアンフィーリング SHINJUKU Plain City 2F, １丁目-１７-１１ 歌舞伎町 新宿区 東京都 160-0021",,,https://www.esthe-ranking.jp/shinjuku/shop-detail/4d693cec-a572-44c3-9de9-979ed5c975ed/,https://asian-feeling.net/,JR新宿駅より徒歩3分、西武新宿駅より徒歩1分にある、 タイ古式マッサージ アジアンフィーリングです。,03-3202-0723,12:00～LAST
宏華（こうか）,新宿駅南口すぐ,東京都渋谷区代々木2-7-6 佐藤ビル505,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/083f99d3-497b-4a4d-93ee-c3f033e36ad1/,https://kouka.eeq.jp/,アクセス欄に住所あり,03-5371-3258,12:00～LAST
FLOWER,東新宿駅,東京都新宿区新宿６丁目２８−１３,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/a328cb2f-64c0-4242-aceb-ea2aeb219e38/,http://nangel.m-es.net/,東新宿駅から徒歩3分，昭和シェルサービスショップ新宿ＳＳに着きましたらお電話ください。,090-8006-2091,11:00～LAST
Sakura Hime Spa（サクラヒメスパ）,西武新宿駅,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/98f9f4c3-e95e-4562-9fce-a3f541910c0f/,https://s-himes.xyz/,西武新宿駅徒歩3分,080-3007-6889,12:00～LAST
HAPPY Beauty＆Spa,西武新宿駅,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/e7273ed0-7233-46a3-a1bf-fcc0c9990a7e/,https://happy-beauty-spa.com/,西武新宿駅徒歩2分,080-9365-3565,11:00～24:00
癒しの部屋,西武新宿駅,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/86d8b77e-aee4-42b9-aa36-c217ab24446c/,http://www.iyashi.estyojp.com/,西武新宿駅徒歩4分,080-4888-9188,12:00～LAST
ミン ロッブリー,西武新宿駅北口,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/439db41c-ae6b-4a78-9e73-5267fc89ec84/,https://www.minlopburi.com/,西武新宿駅北口徒歩1分,03-3203-1012,12:00～23:00
蕾～つぼみ,東新宿駅,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/022c5766-ca64-4fd8-8f07-da74ab6e3990/,http://www.tsubomi.eevjp.com/,東新宿駅徒歩3分,03-6709-6929,24時間営業
百合整体マッサージ,西武新宿駅北口,東京都,,,https://www.esthe-ranking.jp/shinjuku/shop-detail/1c40c9a4-ed19-43b0-9aad-34573276f4bc/,http://www.yuri-massage.work/,西武新宿駅北口徒歩2分,080-3390-0757,10:00～翌 04:00
サイバーエステ2077,池袋駅西口,東京都豊島区池袋２丁目３−５,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/418be83a-71ea-41e0-81e3-0507ff8fd840/,https://cyber-esthe.com/index.php,池袋駅西口徒歩3分,080-9400-6777,10:00～LAST
ニューリラックスタイム,池袋駅北口,東京都豊島区西池袋１丁目４２−８,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/ead6c3af-adeb-4f5c-ad67-8350a1ff7a36/,https://www.relax-es.net/,池袋駅北口徒歩1分,080-5387-6688,12:00～翌 04:00
俺の秘密基地,池袋駅北口,池袋駅,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/c63849d4-5f17-465d-8d75-9108e1acde5c/,https://www.rx-es.com/,池袋西口北(元北口)に着きましたらお電話ください。徒歩1分ぐらいのとこです。,080-6692-6888,12:00～翌 02:00
蘭エステティック,池袋駅西口,東京都豊島区西池袋3-29-4,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/dc2056cf-f006-47a2-9050-462f027a5e0b/,http://ranesthe.msa.jp/,池袋駅西口地下1bと3Ｃ出口より徒歩1分,090-9962-8899,24時間営業
シャーロット姫,池袋駅北口,東京都豊島区西池袋1-44-5,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/2e7d2ef5-086f-44ff-bc21-0b6955b04ae2/,http://jarlothime.m-es.net/,池袋駅北口徒歩1分,070-7418-6888,24時間営業
ディープリンパクト,池袋駅西口,池袋駅,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/ca964e45-929b-418b-9972-5e8244aff1fc/,https://www.deep-es.net/,池袋西口に着きましたらお電話ください。徒歩1分ぐらいのとこです。,090-6787-5588,12:00～翌 02:00
愛の憩,池袋駅東口,東京都豊島区東池袋1-23-1,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/9ffad82a-a7af-4f18-ae1b-d5b4e06a3907/,http://ainoikoi.m-es.net/,池袋駅東口徒歩4分,080-9040-6775,11:00～翌 05:00
火焔（かえん）,池袋駅西口C6,東京都豊島区池袋2-9-1,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/24c509dd-4ce7-413a-bd49-e85dcea88282/,http://rose.este.work/,池袋駅西口から徒歩２分の洗体エステ【火焔】です。当メンズエステでは貴方に極上の洗体やリンパマッサージをお楽しみいただけるよう、熟練の技術をもったセラピスト達がたっぷりとサービスを施させて頂きます。 ご満足頂けると確信しております。,03-6907-0722,07:00～LAST
Melty Lab（メルティラボ）,池袋駅東口,東京都豊島区南池袋3-13-9,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/d8348671-f917-49f7-81a4-4e46aa4051e9/,https://meltylab.crevice.online/,アクセス欄に住所あり,070-8583-7267,10:00～LAST
リジア,池袋駅西口,"35.73030126046202, 139.70726323430097",35.73030126046202,139.70726323430097,https://www.esthe-ranking.jp/ikebukuro/shop-detail/84b36de4-9f28-4954-86a2-3418fb09413b/,http://koi.este.work/,④藤井ビル3階です。入口は裏側です。,090-4399-6868,24時間営業
Sakura（さくら）,池袋駅C6出口,東京都豊島区池袋2丁目40-1,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/b4532794-3e66-4565-9c6d-216017759988/,http://xn--vckg5a9gugx77p8s4b.tokyo/,カラオケ「パセラ」(A点) に着きましたら、お電話ください。,090-9507-8703,12:00～24:00
ゆらり,池袋駅北口,東京都豊島区西池袋１－４４－５５,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/bb18d308-d8a9-4982-8712-577e67c2777a/,http://www.yurari-massage.work/,池袋駅北口徒歩2分,03-6914-1312,11:00～翌 05:00
Sugar,池袋駅北口,池袋駅,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/2d0c4486-4dd6-4746-bf23-9e6e456a3d2f/,https://sugar-bluesea.navi.mn/,アクセス欄に住所あり,080-5369-0593,11:00～翌 02:00
恋人（こいびと）,池袋駅西口,東京都豊島区池袋１丁目１−３,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/6af6c7de-1eb2-44d6-9b56-1ae64b685a4d/,http://mylover.sh-sfg2.tokyo/,池袋駅西口徒歩2分,080-2946-5828,12:00～LAST
池袋ベトナム式マッサージ ハノイちゃん,池袋駅東口,"35.73267388477892, 139.7148945004153",35.73267388477892,139.7148945004153,https://www.esthe-ranking.jp/ikebukuro/shop-detail/86f1fc21-c537-4252-be7a-cf737f70a144/,https://hanoichan.com/,池袋駅東口徒歩4分,050-3490-2220,24時間営業
台湾幸運リラクゼーション,池袋駅C1出口,東京都豊島区池袋2丁目18番1号,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/1292bc1e-4a03-4940-a786-ee0dd57d353c/,http://esthe-treat.com/,池袋駅C1出口徒歩0分,03-5927-8466,10:00～LAST
ホワイトエンジェル,池袋駅西口,"35.732974144746045, 139.71035482212145",35.732974144746045,139.71035482212145,https://www.esthe-ranking.jp/ikebukuro/shop-detail/fcbdc688-499b-4e82-aeed-bdd13de554c1/,https://white-angel.net/,池袋駅西口徒歩3分,080-5139-6701,11:00～翌 01:00
優整体,池袋駅北口,"35.73438079511985, 139.71149509814978",35.73438079511985,139.71149509814978,https://www.esthe-ranking.jp/ikebukuro/shop-detail/0d6a47d8-a26e-4047-909a-5ad5811b2f12/,http://www.yuu.estyojp.com/,池袋駅北口徒歩4分,080-9648-6668,11:00～23:00(最終受付：22:00)
夢の家,池袋駅東口,東京都豊島区東池袋１丁目３１−１３,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/621daf09-6b6e-4246-9fb6-3b564f8ab66c/,https://yumenoie.ebb.jp/,池袋駅東口徒歩7分,070-4195-2396,11:00～LAST
らくらく,池袋駅東口,東京都豊島区南池袋２丁目１４−５,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/e524717d-e36c-42c5-bb82-3f5965aeb098/,http://dream.ebb.jp/,池袋駅東口徒歩5分,090-7901-6040,10:30～翌 02:00
ラッキー,池袋駅,東京都豊島区西池袋５丁目４−１,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/de57f8eb-315e-458c-bb66-1eed3f6357b3/,http://xy.sh-grr.tokyo/,東京都豊島区西池袋5丁目4-1 に着きましたらお電話ください。,070-9185-8921,12:00～LAST
ピュアリゾート,池袋駅西口,豊島区池袋2-3-5,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/da54238e-b55a-4f68-ae46-6920621ec64e/,http://i-pure.info/,ゴールデンウィーク限定復帰となりますので、是非お越しください！！！,03-3983-3888,11:00～LAST
アワ国党,池袋駅C6出口,東京都豊島区池袋2-3-5 4F,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/99f57656-73e1-4edc-a73d-3b1e032b6584/,https://awakoku.net/,池袋駅C6出口徒歩1分！理想の泡洗体に出会えずお悩みのお客様はアワ国党へご相談下さい！,090-9959-2666,10:00～LAST
Thaniya Relax（タニヤリラックス）,池袋発～,東京都,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/501e1ce2-bda6-4bd1-84e7-91ebb9c9a5f6/,https://thaniya-relax.com/,アクセス欄に住所あり,,13:00～24:00
佳人（かじん）,池袋駅東口,東京都豊島区南池袋2丁目22-6,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/56e9177b-bb7d-41ba-bc1b-d9284a6d26cf/,https://kaijinn.iest.in/,池袋駅東口徒歩3分,080-1381-5888,12:00～翌 02:00
栄華,池袋駅西口,"35.73604288140184, 139.70978744166547",35.73604288140184,139.70978744166547,https://www.esthe-ranking.jp/ikebukuro/shop-detail/dd779365-976c-4779-ab3d-8d24cf1901b8/,http://treat-rlx.com/,池袋駅西口徒歩6分,080-3515-8585,11:00～22:00
蜜姫,池袋駅北口,池袋駅,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/48b725c6-497e-476a-a502-c7f0ad398508/,https://www.es-hime.tokyo/,池袋西口北に着きましたらお電話ください。徒歩3分ぐらいのとこです。,090-9037-2288,12:00～翌 02:00
エンジョイ,池袋駅西口,東京都豊島区池袋２丁目１２−１４ 第８前島ビル 301号,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/a9e88b41-863c-4416-b872-3540a9cb8ae7/,https://enjoymassage.jp/,アクセス欄に住所あり,070-3238-0101,12:00～翌 01:00
SHE,池袋駅,東京都,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/226ce146-e199-4455-9af4-42b3f5781c82/,https://s-h-e.relaxjp.com/,池袋駅徒歩3分,080-8295-0229,12:00～LAST
癒しの苑,池袋駅西武東口,東京都,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/cd461fd5-0358-43cf-8fa4-efe834b33ec9/,https://kajinn.fan.bz/,池袋駅西武東口徒歩3分,080-3258-9795,24時間営業
ナーラック,池袋駅西口,東京都,,,https://www.esthe-ranking.jp/ikebukuro/shop-detail/66cebbeb-92b4-4f87-b6fc-6ba783f23528/,http://naa-rak.com/,アクセス欄に住所あり,080-6294-8550,11:00～23:30
花水木,池袋駅北口,東京都,,,https://www.esthe-ranking.jp/ueno/shop-detail/0418cc7a-4def-46c2-ac17-7ae3a1226f78/,http://www.hanamizuki.estjpn.com/,浅草駅徒歩1分,070-9082-2803,24時間営業
Eclat,仲御徒町駅1出口,仲御徒町駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/77b5ec44-f5a2-4696-9c8f-7687e6ef95b4/,https://eclat-relax.com/,昭和通り沿いからお電話ください。,070-2238-7731,11:00～24:00
KARA,御徒町駅北口,御徒町駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/257920fe-f7c8-4d94-94b3-ad605977fd3e/,https://kara.esthe-hp.com/,アクセス欄に住所あり,070-1378-3892,11:00～翌 02:00
わが家,御徒町駅北口,東京都台東区台東4丁目29-10 第二さたけビル5階,,,https://www.esthe-ranking.jp/ueno/shop-detail/6047ba8b-2dda-4fef-9925-a00d9b6608c8/,https://okachimachi-mensesthe.com/,御徒町駅北口徒歩3分,070-6514-1462,12:00～翌 02:00
エステ・リッツ,御徒町駅北口,御徒町駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/4384e093-20ab-4b2d-b6bd-f16fbe214a70/,https://esthe-ritz.com/,アクセス欄に住所あり,080-5828-4845,11:00～24:00(受付：11:00～翌23:00)
Kissの楽園,上野駅,"35.710982704945984, 139.7807568831067",35.710982704945984,139.7807568831067,https://www.esthe-ranking.jp/ueno/shop-detail/fd2fb5b3-e0f9-441c-a3d8-9a2865c550e5/,https://kiss-rakuesute.navi.mn/,アクセス欄に緯度経度と住所あり,070-9096-2480,10:00～24:00
ベトナム子GirlSVN専門店,浅草駅,東京都台東区花川戸１丁目５−２,,,https://www.esthe-ranking.jp/ueno/shop-detail/fc9b70a9-1aaa-437e-a363-91d5a874a6ec/,http://girls.ghke.work/,浅草駅徒歩1分,080-8256-6555,11:00～翌 03:00
香夜（カヤ）,御徒町駅南口,"35.707282496264604, 139.77863301728263",35.707282496264604,139.77863301728263,https://www.esthe-ranking.jp/ueno/shop-detail/e0c97e92-31f7-42eb-8099-97318af1ade1/,https://kaya-okachimachi.navi.mn/,御徒町駅南口徒歩3分,070-8563-9695,11:00～翌 03:00
癒手屋（いやしてや）,御徒町駅南口,"35.70574885747729, 139.7730102946471",35.70574885747729,139.7730102946471,https://www.esthe-ranking.jp/ueno/shop-detail/3cfbb1ec-271e-4993-bb54-218d1a3dbdfb/,http://massage-aroma.biz/,御徒町駅南口徒歩3分,03-6240-1476,11:30～LAST
Renew（リニュー）,御徒町駅南口,東京都台東区上野3-20-2,,,https://www.esthe-ranking.jp/ueno/shop-detail/e6b2cdd7-3ddc-43fe-a77a-b9b789b22c61/,http://renew.este88.com/,御徒町駅南口徒歩2分,070-7668-2868,11:00～LAST
上野ベトナム式マッサージ ハノイちゃん,御徒町駅,東京都文京区湯島3-39-1,,,https://www.esthe-ranking.jp/ueno/shop-detail/20f9aa05-6d85-4ff7-9169-f58ebe2d31bc/,https://hanoichan.com/,アクセス欄に住所あり,050-3490-2220,24時間営業
女手,上野駅浅草口,上野駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/946e6fd6-7b79-4c45-b146-f7a71b9f4b31/,https://www.ueno-assistant.com/,上野駅浅草口徒歩2分,090-6501-7597,12:00～翌 02:00
for you（フォーユー）,上野駅浅草口,上野駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/9de3f025-e2ca-437e-b015-360fb73bee7c/,http://www.for-you-ueno.net/,ご来店の際には「上野駅浅草口」付近よりお電話ください。,090-2412-9888,11:00～翌 05:00
MIYABI,上野駅浅草口,"35.71240212115298, 139.77764175893356",35.71240212115298,139.77764175893356,https://www.esthe-ranking.jp/ueno/shop-detail/5d3dea58-01c9-45b2-9c5e-9128450ff8e4/,https://miyabi.healrelax.info/,上野駅浅草口徒歩1分,080-3696-5253,24時間営業
初雪,御徒町駅,"35.705919445334025, 139.77640503563163",35.705919445334025,139.77640503563163,https://www.esthe-ranking.jp/ueno/shop-detail/4ed314e4-0685-49d8-bbcc-8deba9bb5b7e/,https://hello-firstsnow.navi.mn/,アクセス欄に緯度経度と住所あり,080-5899-9851,12:00～LAST
スイカ,御徒町駅北口,台東区台東3-41-4,,,https://www.esthe-ranking.jp/ueno/shop-detail/4979d646-8d95-4e16-91a2-8613a3fee8b9/,https://relax-esthe.com/,東京メトロ日比谷線「仲御徒町駅」1番出口より徒歩1分,080-9423-2024,12:00～翌 02:00
憩,御徒町駅南口,東京都台東区上野3-17-7,,,https://www.esthe-ranking.jp/ueno/shop-detail/9e103881-296e-4ae9-b658-9a2cfb6ce867/,https://ikoi.ies.fun/,御徒町駅南口徒歩3分,03-6806-0706,11:00～翌 02:00
洗体アカスリとオイルリンパSPA,上野駅浅草口,東京都台東区上野７丁目３−９,,,https://www.esthe-ranking.jp/ueno/shop-detail/7bfe36e2-0a0a-4057-84d5-b8d8b61205cf/,https://wash.sexy-girl.work/,上野駅浅草口徒歩1分,080-5033-3999,11:00～翌 05:00
メンズスパ桜,浅草駅5番出口,東京都台東区花川戸１丁目,,,https://www.esthe-ranking.jp/ueno/shop-detail/e4b93d42-d437-4dd5-b4fa-7b3ff2b5d392/,http://mens-spa.info/,浅草駅5番出口徒歩2分,080-2333-7237,11:00～翌 02:00
安らぎリラクゼーション,蔵前駅,東京都台東区蔵前３丁目１３−１２,,,https://www.esthe-ranking.jp/ueno/shop-detail/e100b4aa-bcd5-49b5-b76c-aebd3341ac62/,http://safe.xin-jkli.online/,蔵前駅に着きましたら、ご連絡ください。,080-2062-6404,12:00～LAST
いちご,湯島駅3番出口,蒲田駅,,,https://www.esthe-ranking.jp/kamata/shop-detail/2ebba615-17b9-4a36-ae57-894a968b953b/,https://hi-msg.com/ichigo-503/,蒲田駅東口徒歩2分,080-2589-7904,12:00～LAST
ふわふわ,御徒町駅北口,東京都台東区台東4-11-2,,,https://www.esthe-ranking.jp/ueno/shop-detail/cc061757-a5b7-4e7d-aeb1-073d1ebcf1ee/,http://fuwafuwa-relax.work/,御徒町駅北口徒歩2分,080-8976-7441,24時間営業
夢心地,御徒町駅,東京都台東区上野5-25-17,,,https://www.esthe-ranking.jp/ueno/shop-detail/0380ae94-0dde-4f0b-88f9-547962eb2c08/,http://www.yumegogoti.estyojp.com/,御徒町駅徒歩2分,03-6803-2513,12:00～LAST
台湾さくら,御徒町駅北口,東京都台東区上野６丁目１−６,,,https://www.esthe-ranking.jp/ueno/shop-detail/472f3a7b-2d8d-46c3-90e0-b541b00f7895/,https://taiwan-sakura.info/,JR山手線 御徒町駅 北口徒歩5分,070-6472-6926,11:00～LAST
紅葉MOMIJI,上野駅中央口,東京都台東区上野６丁目１６−９,,,https://www.esthe-ranking.jp/ueno/shop-detail/51069d44-e59c-4725-9a4c-3b13dfcbdeac/,https://momiji-uen.iest.in/,上野駅中央口徒歩2分,070-4115-5138,12:00～LAST
韓国美姫,上野駅・稲荷町駅,東京都台東区東上野３丁目２２−３,,,https://www.esthe-ranking.jp/ueno/shop-detail/40ec0d5a-bcdd-4964-9225-1e50a0a2f5d8/,https://people-onni.navi.mn/,アクセス欄に住所あり,090-4791-3120,10:30～翌 02:00
ローズ,御徒町駅南口,東京都台東区上野3-17-7,,,https://www.esthe-ranking.jp/ueno/shop-detail/86c9d3d6-2e8c-468b-9986-51b55971fa50/,https://rose.iest.in/,御徒町駅南口徒歩3分,03-6887-2191,12:00～翌 01:00
金の月,湯島駅4番出口,"35.708041302233845, 139.7707917448827",35.708041302233845,139.7707917448827,https://www.esthe-ranking.jp/ueno/shop-detail/fdc735b4-5506-48d7-9c68-ae1fac8d64d3/,http://lena.este.work/,東京メトロ千代田線「湯島駅」４番出口徒歩で1分★感謝キャンペーン★,080-7895-0533,24時間営業
Foreign SPA（フォーリンスパ）,御徒町駅北口,東京都台東区上野６丁目１−６,,,https://www.esthe-ranking.jp/ueno/shop-detail/ce37e42d-fdec-467e-aac0-119578c79362/,https://est1.info/foreign-spa/,JR山手線「御徒町」駅北口 徒歩2分,090-6877-8642,12:00～LAST
monika,上野駅入谷口,"35.71436929662053, 139.77840535805203",35.71436929662053,139.77840535805203,https://www.esthe-ranking.jp/ueno/shop-detail/156ac67a-bfad-43fe-9ea1-d39da16ffbac/,https://mo-nika.xyz/,上野駅入谷口に着きましたらお電話ください,050-6863-5224,12:00～翌 02:00
アリア,稲荷町駅3分,東京都台東区元浅草２丁目６−６,,,https://www.esthe-ranking.jp/ueno/shop-detail/818783b2-3723-45f2-988d-07df04008dd8/,https://ilaria.relaxesute.com/,アクセス欄に住所あり,080-6787-6688,12:00～LAST
爽・さわやか,上野駅浅草口,東京都台東区東上野３丁目１７−８,,,https://www.esthe-ranking.jp/ueno/shop-detail/4c551e3e-83d9-4ac1-a5fc-0db17507b1e7/,https://sawayaka.korea-girl.work/,上野駅浅草口徒歩3分,070-8532-2908,11:00～翌 02:00
ベトナム人NEWSPA 上野駅と秋葉原駅店,上野駅入谷口,上野駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/caada850-8365-4840-a07c-e4f6433f7193/,https://newspa-purplespa.navi.mn/,上野駅入谷口徒歩2分,080-7810-9283,11:00～LAST
ベトナム美癒し館,上野駅,上野駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/c411d1ed-9bcb-4ce9-8726-b20475b0edf1/,https://whiterose-esute.navi.mn/,上野駅徒歩2分,090-1671-3542,11:30～翌 02:30
20代のbaby,上野駅,上野駅,,,https://www.esthe-ranking.jp/ueno/shop-detail/c9f26c65-a9b4-4e8b-9b9a-e498c61bf075/,https://lucky2-iesw.navi.mn/,アクセス欄に住所あり,050-6864-9158,11:00～翌 02:00
夜桜,御徒町駅南口,蒲田駅,,,https://www.esthe-ranking.jp/kamata/shop-detail/0d2736f1-33c2-4b95-9348-162e85f4b017/,http://www.yozakura.relaxmens.com/,蒲田駅西口徒歩2分,090-3246-8281,12:00～翌 02:00
LINO（りの）,湯島駅4番出口,"35.70794612883329, 139.77005965304437",35.70794612883329,139.77005965304437,https://www.esthe-ranking.jp/ueno/shop-detail/386030c0-cc85-436b-a04c-939f041c0f23/,https://lino.esmens.com/,湯島駅4番出口徒歩1分,070-9087-3311,11:00～LAST
恋人空間,上野駅,東京都台東区東上野３丁目２８−４,,,https://www.esthe-ranking.jp/ueno/shop-detail/cca12b11-1a36-4bd2-bec9-981bc827915c/,https://koibito-room.navi.mn/,アクセス欄に住所あり,080-7851-0499,11:00～翌 02:00
魔女の家,御徒町駅北口,東京都台東区台東4丁目29-13 明和ビル9階,,,https://www.esthe-ranking.jp/ueno/shop-detail/fcfbde66-bf51-4c61-8ce2-0ed5a64c235f/,https://okachimachi-esthe.jp/,御徒町駅北口徒歩3分,090-8494-5188,12:00～24:00
