店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
さわやか,猿投駅,"35.12912020008774, 137.18590297480787",35.12912020008774,137.18590297480787,https://www.esthe-ranking.jp/toyota/shop-detail/a8793d90-1161-4476-b2f3-741b438780bd/,https://sawayaka.ddq.jp/,駐車場 店舗前にあります（3台分）,090-4400-7558,12:00～LAST
浪花,土橋駅,"35.08375, 137.128639",35.08375,137.128639,https://www.esthe-ranking.jp/toyota/shop-detail/e6855d7a-881b-477c-a2b1-d8cdbdac57f2/,https://naniwa.eei.jp/,駐車場 店舗前にあります。（6台）,080-6309-7888,12:00～LAST
豊田プラチナム,土橋駅,"35.06615290232472, 137.12440832944765",35.06615290232472,137.12440832944765,https://www.esthe-ranking.jp/toyota/shop-detail/15bfafb7-900a-41cc-8da7-cfbb01e3e219/,https://toyotaplatinum.uuo.jp/,コンコルド豊田インター店近く,070-5646-8705,11:00～翌 02:00
姫恋無双（ひめこいむそう）,梅坪駅,"35.100412, 137.16676",35.100412,137.16676,https://www.esthe-ranking.jp/toyota/shop-detail/921fb954-cffd-4e64-a412-923430179677/,https://himekoimusou.eei.jp/,豊田・名鉄三河線「梅坪駅」近くに新感覚リラクゼーションが新登場！日常に“ご褒美時間”をお届けします♪静かな隠れ家のような空間には、香り高いアロマがやさしく広がり、厳選されたセラピストたちが心を込めて施す極上のひとときへとご案内。癒しと贅沢の新スポットです☆,070-4070-6240,12:00～翌 03:00
マリア,豊田市駅,"35.0886101954173, 137.158510790812",35.0886101954173,137.158510790812,https://www.esthe-ranking.jp/toyota/shop-detail/ae7eb7fa-f377-4378-b487-248efa532250/,https://maria.evv.jp/,駐車場あります。宮地歯科となりの駐車場 7番8番10番の駐車場をお使いください,070-4132-3207,24時間営業
優,中岡崎駅,愛知県岡崎市板屋町55番,,,https://www.esthe-ranking.jp/toyota/shop-detail/12eaf7d0-d0c7-46d8-8220-f4999a43c3a8/,https://yuu.zzd.jp/,岡崎のリラクゼーション優です♪中岡崎駅から近くてアクセス抜群！ほんわか居心地の良い店内で、他では体感できないような癒しをお届けします。,090-6353-8284,13:00～LAST
リラクスパ,北岡崎駅,愛知県岡崎市伊賀町東郷中１２−１,,,https://www.esthe-ranking.jp/toyota/shop-detail/89358d28-4a26-4d3d-bebc-316be8338e42/,http://relaxing.xin-cvbi.online/,アクセス欄に住所あり,080-6284-0762,13:00～翌 03:00
キュア,相見駅,岡崎駅,,,https://www.esthe-ranking.jp/toyota/shop-detail/536547f3-f594-4adc-8148-aa34d374e1af/,http://cure.sh-ximjyu.tokyo/,アクセス欄に住所あり,070-2344-0406,12:00～翌 02:00
ピンクフラワー,三河安城駅,愛知県安城市三河安城東町1-30-15,,,https://www.esthe-ranking.jp/toyota/shop-detail/421d1b71-fc81-4097-8196-0420095d1c4c/,https://baranoaizinn.eei.jp/,駐車場あります。,070-6534-6688,24時間営業
香～kaori～,碧南中央駅,"34.88660532079093, 136.9920589331522",34.88660532079093,136.9920589331522,https://www.esthe-ranking.jp/toyota/shop-detail/46cc2873-1d81-453a-a58c-1322ec69f6f2/,https://kaori.zze.jp/,駐車場 店舗前に2台あります ※店舗裏にもあります,080-7805-7389,12:00～LAST
癒しの女神,新豊田駅,愛知県豊橋市牧野町215,,,https://www.esthe-ranking.jp/toyohashi/shop-detail/9a26ba51-24f3-46b6-8eab-12a53b2409aa/,https://iyasinomegami.bdd.jp/,駐車場：３台＋共同駐車場あり（隣接店舗様前への駐車はご遠慮ください）,080-3687-1618,12:00～翌 02:00
ハッピータイム,東刈谷駅,愛知県刈谷市東刈谷町1丁目17-13,,,https://www.esthe-ranking.jp/toyota/shop-detail/b9b1a29d-63be-4c79-a5f2-e2e139064d04/,https://happytime.ooe.jp/,東刈谷のリラクゼーションハッピータイムです♪ 東刈谷駅から近くてアクセス抜群！,070-2826-3783,12:00～翌 04:00
かわいい美人,南安城駅,"34.94921744933818, 137.09391765033953",34.94921744933818,137.09391765033953,https://www.esthe-ranking.jp/toyota/shop-detail/b74d94e1-530b-44ce-9060-8eb0e596eeff/,https://kawaiibijin.eei.jp/,安城市のリラクゼーション【かわいい美人】です♪ 南安城駅から近くてアクセス抜群！,070-7646-0206,24時間営業
ベストスパ,西尾駅,"34.887691, 137.128466",34.887691,137.128466,https://www.esthe-ranking.jp/toyota/shop-detail/28abaef8-e3df-4ec5-ac98-30bb11c99f68/,https://bestspa.eei.jp/,駐車場あります,080-8037-0022,12:00～LAST
ラッキースマイル,一ツ木駅,一ツ木駅,,,https://www.esthe-ranking.jp/toyota/shop-detail/8cc612d5-facf-4b12-84e9-1433c8e27066/,https://luckysmile.eei.jp/,刈谷市のリラクゼーション【ラッキースマイル】です♪一ツ木駅から近くてアクセス抜群！当店自慢のマッサージで、あなたに極上の時間をお贈りします。お気軽にご来店くださいね。,070-8358-2911,24時間営業
バレンタイン,新安城駅,愛知県安城市里町荒畑１５４−２,,,https://www.esthe-ranking.jp/toyota/shop-detail/aa5442a3-5970-40eb-becb-5ff139fd8a6c/,https://barentain-esute.navi.mn/,アクセス欄に住所あり,090-5874-6182,24時間営業
リフレッシュ,三河豊田駅,愛知県豊田市山之手７丁目５６,,,https://www.esthe-ranking.jp/toyota/shop-detail/81a97c0e-e885-4ed4-ae97-8ffb003ac346/,https://refresh.roo.jp/,アクセス欄に住所あり,090-6066-1203,12:00～LAST
ときめき,一ツ木駅,愛知県刈谷市恩田町3丁目160-6,,,https://www.esthe-ranking.jp/toyota/shop-detail/a1a2154c-ade1-415d-ab44-a05780c163a8/,https://tokimeki.bdd.jp/,"【刈谷にNEW OPEN】リラクゼーション ときめき です♪一ツ木駅から近くてアクセス抜群！ 最大【3,000円】OFF実施中☆彡PayPayでのお支払い可能です☆彡 スタッフ一同",090-6636-1383,11:00～翌 03:00
アールグレイ＋,三河安城駅,愛知県安城市三河安城町1丁目4-5,,,https://www.esthe-ranking.jp/toyota/shop-detail/a37d6ff2-b51e-4191-a27e-517b3e07beea/,https://earlgray.ooa.jp/,共用駐車場有・満車場合は近くのコインパーキングをご利用ください。,070-4797-4321,12:00～翌 03:00
ソレイユ,西尾駅,愛知県西尾市下町御城下45-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/471affb2-cc68-4b68-8fc4-4865abe2fc4b/,https://soleil.bdd.jp/,★西尾で支持を集める話題店！在籍セラピストは全員写真本人保証！確かな技と心配りで満足度の高さが評判☆彡各種割引やキャンペーン充実・最大3000円割引！！駐車場完備☆彡完全個室☆彡落ち着いた時間を安心して楽しめる人気店♪この機会に“本物の癒し”をぜひご体験ください！,080-9118-8698,12:00～翌 03:00
お姫様LABO,安城駅,"34.959833, 137.082052",34.959833,137.082052,https://www.esthe-ranking.jp/toyota/shop-detail/c5e0941e-51bc-4d53-9d13-1688d275438a/,https://ohimesamalabo.ooa.jp/,アクセス欄に緯度経度と住所あり,080-8568-0620,24時間営業
たんぽぽ,豊田市駅,"35.08843738714646, 137.15279461114307",35.08843738714646,137.15279461114307,https://www.esthe-ranking.jp/toyota/shop-detail/39bcd7d0-3770-4dc7-850b-d161d87fb01e/,https://tanpopo.ood.jp/,駐車場 お近くのコインパーキングをご利用ください。,090-1813-1040,11:30～翌 02:30
勝手にしやがれ,三河豊田駅,"35.053594, 137.150793",35.053594,137.150793,https://www.esthe-ranking.jp/toyota/shop-detail/4d00d0c9-4b1a-4dd4-acd1-1d603fcf6495/,https://kattenishiyagare.eei.jp/,2000円割引実施中！！豊田市のリラクゼーション【勝手にしやがれ】です♪ 三河豊田駅から近くてアクセス抜群！居心地の良い店内で大人な癒しのひとときをお届けします。,080-2133-7888,12:00～翌 02:00
Luck（ラック）,矢作橋駅,"34.97581436497053, 137.1361583720989",34.97581436497053,137.1361583720989,https://www.esthe-ranking.jp/toyota/shop-detail/fc96d25f-c045-40d4-b376-adf6ab8a018d/,https://luck.qqo.jp/,駐車場 店舗前に複数あります。,080-1884-4475,12:30～翌 02:00
潤んだ瞳,上豊田駅,"35.11882645151179, 137.15195199999772",35.11882645151179,137.15195199999772,https://www.esthe-ranking.jp/toyota/shop-detail/20eb6dee-ce06-4d69-b90a-915139c7f58e/,https://urundahitomi.eei.jp/,上豊田駅から徒歩3分とアクセス抜群！我が家のような心地よさで、ほっと安心できるようなサービスをご提供いたします！,080-6903-4961,24時間営業
天使の心,大門駅,愛知県岡崎市薮田1丁目2-11,,,https://www.esthe-ranking.jp/toyota/shop-detail/a03249d0-1816-4e2e-8128-b85e48ddf978/,https://tenshinokokoro.eeh.jp/,専用駐車場６台あり,080-5658-5154,12:00～翌 05:00
ルルの小屋,刈谷駅,"34.991049771985416, 137.00465535697631",34.991049771985416,137.00465535697631,https://www.esthe-ranking.jp/toyota/shop-detail/264e0cab-25f3-4aac-9867-f82a4a1f0b47/,http://rururoom.refle.shop/,【アピタ刈谷店】に着きましたらお電話して下さい,080-1819-4790,24時間営業
アイリス,北岡崎駅,"34.9907602548789, 137.16412615666258",34.9907602548789,137.16412615666258,https://www.esthe-ranking.jp/toyota/shop-detail/4640119c-6806-47f2-a023-54e34354a4d2/,https://iris.ddv.jp/,岡崎市のリラクゼーション【アイリス】です♪ 北岡崎駅から近くてアクセス抜群！当店のハイクオリティな空間、セラピストによる極上の癒しをご堪能下さい。,080-5804-3911,24時間営業
秘密の夜（ひみつのよる）,新安城駅,愛知県安城市今本町3丁目6-8,,,https://www.esthe-ranking.jp/toyota/shop-detail/21ec6060-98ae-4042-87ac-5e14a854fd36/,https://himitsunoyoru.eei.jp/,"☆限定☆泡洗体コース2,000円OFF！新安城駅から徒歩7分！24時間営業！本人保証、安城美女アカスリ室有り・泡洗体有り・完全個室・予約優先です。心身共に潤うような充実した癒しをお楽しみいただけます",080-1588-4183,24時間営業
はなもも,西尾駅,"34.859245, 137.054211",34.859245,137.054211,https://www.esthe-ranking.jp/toyota/shop-detail/fd051619-7405-4499-a634-0297bfc00326/,https://hanamomo.evv.jp/,駐車場 駐車場あります。,080-8479-2661,12:00～翌 02:30
セクシードール,刈谷駅,愛知県刈谷市神明町6-37,,,https://www.esthe-ranking.jp/toyota/shop-detail/029cb208-e540-4d1a-a81f-791a2a52343a/,https://sexydoll.eei.jp/,アクセス欄に住所あり,080-2883-8404,24時間営業
雫（しずく）,六名駅,愛知県岡崎市天白町東池10-6,,,https://www.esthe-ranking.jp/toyota/shop-detail/f0ad681a-c9a5-4d43-bd8e-77e4c8994535/,https://shizuku.ggo.jp/,新人入店★各種特典あり★Pay Pay対応★駐車場完備★,070-5307-4931,11:00～翌 03:00
ラベンダー,岡崎駅,愛知県知多郡東浦町緒川下汐田１７−８,,,https://www.esthe-ranking.jp/chita/shop-detail/b89b31b9-56f2-4a6b-a19e-805df744c418/,http://fragrant.xin-jid.online/,緒川駅に着きましたら、ご連絡ください。,080-3652-3115,24時間営業
Cure（キュア）,相見駅,"34.890341, 137.128599",34.890341,137.128599,https://www.esthe-ranking.jp/toyota/shop-detail/3fb433b5-d633-4991-8635-5212df5ce6d7/,https://cure.eei.jp/,駐車場あります。,080-8479-4192,12:00～翌 03:00
花屋敷,一ツ木駅,愛知県刈谷市東新町6丁目3-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/57688f00-4e2d-4931-ab91-031b94a598a3/,https://hanayashiki.bdd.jp/,刈谷市のリラクゼーション【花屋敷】です♪一ツ木駅から近くてアクセス抜群！心まで癒されるマッサージをお届けいたします！,080-1998-2310,24時間営業
E感じ,岡崎駅,"34.92588459270224, 137.1568600767372",34.92588459270224,137.1568600767372,https://www.esthe-ranking.jp/toyota/shop-detail/91db4fe5-f1cc-4cda-886f-1e0da2cf8b71/,https://iikannji.voo.jp/,【NEWOPEN】岡崎駅近くの「E感じ」！なんだか気になるこの名前、そのままに“いい感じ”を体感しませんか？元気で明るいセラピストが笑顔でお出迎えし、疲れた体も気分もスッキリ♪思わずクセになる、楽しく元気になれるリフレッシュ空間です！岡崎駅すぐですよ！,090-5078-6598,12:00～翌 03:00
Only one（オンリーワン）,西尾駅,"34.86654, 136.911315",34.86654,136.911315,https://www.esthe-ranking.jp/chita/shop-detail/76b9c695-3f56-47cb-81bf-c8242a592d54/,https://onlyone.ddv.jp/,駐車場 駐車場４台あります。,090-1787-3666,12:00～LAST
yura香,逢妻駅,"34.999197, 136.9915",34.999197,136.9915,https://www.esthe-ranking.jp/toyota/shop-detail/77e3f3e8-082f-484d-b925-83b7db63c305/,https://yuraka.eev.jp/,駐車場：あります(裏駐車場もあり 12番をご利用ください。裏口もございます),080-8852-6386,12:00～翌 02:00
蝶の楽園,大門駅,愛知県岡崎市大樹寺3丁目2-19,,,https://www.esthe-ranking.jp/toyota/shop-detail/28317dc7-2b17-4c2b-993a-90053c3e931a/,https://chounorakuen.eei.jp/,駐車場：3台あります。,070-1681-8899,10:00～翌 01:00
激安美少女,刈谷駅,愛知県刈谷市高倉町５丁目１０２,,,https://www.esthe-ranking.jp/toyota/shop-detail/5b23fc20-9e8e-4554-aa04-d296dfa3a95f/,http://www.mymermaid.tokyo/,アクセス欄に住所あり,080-7392-8575,12:00～翌 05:00
恋のstart（コイのスタート）,末野原駅,愛知県豊田市永覚新町3丁目63-12,,,https://www.esthe-ranking.jp/toyota/shop-detail/dde19264-4d45-416f-b64d-495aed53cb41/,https://koinostart.eev.jp/,駐車場2台あります。1・2の場所に停めてください,070-7526-2082,12:00～LAST
姫の王子（ひめのおうじ）,土橋駅,愛知県豊田市寿町8丁目15-5,,,https://www.esthe-ranking.jp/toyota/shop-detail/40d80526-6ec1-43d0-a321-6208a651cbf1/,https://himenoouji.eei.jp/,★☆姫の王子★☆土橋駅近くに新規オープン★ ☆,090-6616-8899,12:00～LAST
いちご娘,一ツ木駅,愛知県刈谷市一里山町砂山154,,,https://www.esthe-ranking.jp/toyota/shop-detail/4bac9886-b66b-4c91-9a43-7d1f9c4a587e/,https://kinnobara.eev.jp/,県道５４号線沿い、ファミリーマート刈谷一里山店隣,090-6397-9988,24時間営業
萌姫,東岡崎駅,"34°55'52.1""N 137°10'53.3""E",,,https://www.esthe-ranking.jp/toyota/shop-detail/959169f2-016d-4c42-9fb8-c9e7520a3370/,https://moehime.eei.jp/,アクセス欄に住所あり,080-7806-9198,12:00～LAST
優華（ユウカ）,知立駅,愛知県知立市本町中通1−１,,,https://www.esthe-ranking.jp/toyota/shop-detail/d85ca12d-2805-4a3d-b582-9e487ccccfa6/,http://yuuka.refle.shop/,駐車場：あり,080-1819-4790,24時間営業
激安美少女,安城駅南口,愛知県安城市御幸本町１０−８,,,https://www.esthe-ranking.jp/toyota/shop-detail/77e716ae-e950-4c76-b5b9-8e2ad52c60e6/,https://pinklip.navi.mn/,安城駅南口徒歩3分,090-4951-1275,11:00～LAST
癒しのアロマ,一ツ木駅,"35.0056911006775, 137.02006327133586",35.0056911006775,137.02006327133586,https://www.esthe-ranking.jp/toyota/shop-detail/45ac7ca2-6367-4fcd-9456-6888c35381a8/,https://iyashinoaroma.eei.jp/,暁第二ビル２F※共用駐車場があります,070-1665-6549,11:00～翌 03:00
恋の期待,知立駅,"35.010550901571804, 137.04309430528633",35.010550901571804,137.04309430528633,https://www.esthe-ranking.jp/toyota/shop-detail/fa187a90-4821-402c-8f61-bbeed734a91b/,https://koinokitai.eev.jp/,新人続々入店中！知立市のリラクゼーション【恋の期待 - こいのきたい】です。 知立駅から近くてアクセス抜群！,090-9585-1915,24時間営業
秘密の誘惑,東刈谷駅,愛知県刈谷市東刈谷町３丁目１２−３,,,https://www.esthe-ranking.jp/toyota/shop-detail/1b0f797c-4c05-439c-89a5-0d3123392274/,https://himitsunoyuuwaku.eev.jp/,ファミリーマートに着きましたらお電話ください,070-1654-8207,11:00～翌 03:00
Eden（エデン）,新安城駅,愛知県安城市住吉町５丁目１３−４０,,,https://www.esthe-ranking.jp/toyota/shop-detail/35665a8f-79fc-402e-918b-6ed62e6cb7ff/,https://eden.iest.in/,「本の王国 安城店」に着きましたら、お電話ください。,070-1660-8886,24時間営業
Aroma Baby（アロマベイビー）,岡崎駅,"34.924099372777995, 137.14261578792204",34.924099372777995,137.14261578792204,https://www.esthe-ranking.jp/toyota/shop-detail/fc723124-84d6-411c-945a-44e3a618836a/,https://aromababy.bdd.jp/,アクセス欄に緯度経度と住所あり,070-4449-2458,12:00～翌 03:00
絶叫治療院,三河豊田駅,"35.05534952328724, 137.14420495601317",35.05534952328724,137.14420495601317,https://www.esthe-ranking.jp/toyota/shop-detail/2e9f0e92-db2c-4320-80ce-2968750b956c/,https://zekyotiryouin.ddq.jp/,全員本人保証！☆触れた瞬間から余韻が離れないセラピスト揃い♪熱を帯びた時間へ誘います★彼女の微笑みがすべてを包み込む！三河豊田駅近く！特典実施最大2000円OFF！非日常的な癒しの空間！美しいセラピストが至福のひとときを演出！ご来店を心よりお待ちしています♪,070-1673-0011,12:00～翌 03:00
はつね（初音）,豊田市駅,愛知県豊田市日之出町２丁目４−２１,,,https://www.esthe-ranking.jp/toyota/shop-detail/315fa9d8-b1ac-4e90-9c9a-8bb0ed9fb708/,http://ahbsa.kaj-esute.asia/,地図の位置に着きましたら、ご連絡ください。,080-8026-0227,12:00～LAST
極楽Heaven,大門駅,"34.99142123597284, 137.1565094312972",34.99142123597284,137.1565094312972,https://www.esthe-ranking.jp/toyota/shop-detail/ceb406ef-7f6e-4648-be16-0d47a1af23e4/,https://gokurakuheaven.ooe.jp/,駐車場あります。,070-4070-6459,12:00～翌 03:00
イタズラ パラダイス,若林駅,若林駅 愛知県,,,https://www.esthe-ranking.jp/toyota/shop-detail/8419f8d0-32a8-4380-a3b9-3178b6540f76/,http://playful.sh-pdm.tokyo/,アクセス欄に住所あり,090-2787-1487,11:00～LAST
月のうさぎ,東岡崎駅,愛知県岡崎市菅生町蟹沢12-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/d53cfd1c-1e80-4135-81c9-2aa7cdb1bebc/,https://getsunousagi.eei.jp/,お店の前の17番とお店の横の駐車場11番をご利用ください。,080-3358-1816,24時間営業
癒し妖精,大門駅,"34.990413619320194, 137.1692249096832",34.990413619320194,137.1692249096832,https://www.esthe-ranking.jp/toyota/shop-detail/acde74f3-0e3e-4da0-a208-81f3fe0a349e/,https://iyashiyousei.ooe.jp/,駐車場：あります。,080-6338-6888,24時間営業
Sweet girl（スイートガール）,牛田駅北口,愛知県安城市今本町西大塚33−2,,,https://www.esthe-ranking.jp/toyota/shop-detail/d6d2156a-0d00-4958-97a2-f2d77e74201e/,https://sweetgirl.bdd.jp/,牛田駅から近くてアクセス抜群！,090-9629-3520,11:00～翌 03:00
なごみ,岡崎駅,"35.01811807213674, 137.03720689166138",35.01811807213674,137.03720689166138,https://www.esthe-ranking.jp/toyota/shop-detail/4af6ea94-d0d8-47a0-8108-863cdb7b2ea2/,https://nagomi.ggo.jp/,知立市のリラクゼーション【なごみ】☆ 知立駅から近くてアクセス抜群！,090-2811-6116,13:00～翌 03:00
まどろみ,三河豊田駅,"35.049009, 137.147199",35.049009,137.147199,https://www.esthe-ranking.jp/toyota/shop-detail/17229b32-b632-4f9b-aff1-87c7a21def25/,https://madoromi.bdd.jp/,近くにつきましたら、お電話ください,090-5756-3426,12:00～翌 03:00
ペア,牛田駅,"35.00004431002302, 137.05381865889436",35.00004431002302,137.05381865889436,https://www.esthe-ranking.jp/toyota/shop-detail/b6d34c95-0698-45d5-b74b-540e2e5a2981/,http://bell.sh-wqv.xyz/,牛田駅徒歩6分,090-6384-8206,12:00～翌 02:00
来い遊ぼ（コイアソボ）,新豊田駅,愛知県豊田市広久手町5-30-19,,,https://www.esthe-ranking.jp/toyota/shop-detail/03b6e394-e2c1-4463-a20b-7f630aa893cf/,https://koisanpo.eei.jp/,駐車場あります。,070-4769-9336,12:00～LAST
癒しの恋,北岡崎駅,"34.970575, 137.15032",34.970575,137.15032,https://www.esthe-ranking.jp/toyota/shop-detail/18016a1a-5b7d-4f25-bba3-4d0e4beece38/,https://iyashinokoi.ddv.jp/,(付近に着きましたらお電話ください),080-9500-3651,12:00～LAST
チョメチョメハウス,刈谷駅,愛知県刈谷市神明町７丁目４０３,,,https://www.esthe-ranking.jp/toyota/shop-detail/bc1c6d74-a3f1-481b-be3f-dd16b3d178ee/,http://esno1.refle.shop/,（ファミリーマート 刈谷神明町店のお近くに着いたら、ご連絡ください）,080-8222-1260,24時間営業
ミシェランGirls,岡崎駅,"34.930158, 137.156433",34.930158,137.156433,https://www.esthe-ranking.jp/toyota/shop-detail/8c6ae813-dddc-477e-9f43-ee759f6f12a9/,https://micherangirls.uud.jp/,岡崎駅近くのリラクゼーション【ミシェランgirls】です♪,090-3958-8358,12:00～LAST
ハッピー娘～Happy Girls～,三河豊田駅,愛知県豊田市山之手６丁目５６−１,,,https://www.esthe-ranking.jp/toyota/shop-detail/43be9525-86ab-49ed-898e-a810fb56cae1/,http://happygirls.este88.com/,三河豊田駅徒歩7分,090-4356-7435,12:00～LAST
回転美人,大門駅,愛知県岡崎市大樹寺3丁目7-15,,,https://www.esthe-ranking.jp/toyota/shop-detail/e54ea302-8b7d-47ca-af30-22fb3725e4db/,https://kaitenbijin.eei.jp/,愛知・岡崎市大樹寺リラクゼーションエステ「回転美人」大門駅から近くてアクセス抜群！サプライズ大好きなスタッフがしっかりとした施術を体験していただけます。お近くまでお寄りの際は、是非遊びに来て下さい！,090-7961-6124,10:00～翌 03:00
桃の花,男川駅,愛知県岡崎市欠町字松塚30-3,,,https://www.esthe-ranking.jp/toyota/shop-detail/5f4c413d-4e36-4216-8c88-7cd820a8fa2a/,https://momonohana.eei.jp/,韓国料理横に共同駐車場8台有り,090-6072-8966,12:00～LAST
恋タイム,刈谷駅,"35.005709, 137.003647",35.005709,137.003647,https://www.esthe-ranking.jp/toyota/shop-detail/15169d1d-7d3f-4afb-924b-0cde781e7137/,https://jyunjyogirl.eei.jp/,駐車場あり,070-2612-6558,12:00～LAST
Luxe Spa（ラックススパ）,一ツ木駅,"35.008649, 137.030428",35.008649,137.030428,https://www.esthe-ranking.jp/toyota/shop-detail/f55f1334-90a9-45d7-86c7-5ff4792abafb/,https://luxespa.eei.jp/,【ファミリーマート 刈谷一ツ木町店】に着きましたらお電話して下さい,090-6998-3285,12:00～翌 03:00
Honey Baby,新安城駅,愛知県安城市今池町３丁目５−２,,,https://www.esthe-ranking.jp/toyota/shop-detail/a275b266-b7dc-49de-9d25-b1eb3acb7042/,https://honeybaby.ies.bz/,無料駐車場を完備しております,090-3967-8686,24時間営業
サンフラワー,南安城駅,愛知県安城市安城町,,,https://www.esthe-ranking.jp/toyota/shop-detail/877192cd-1b15-41c7-88b9-cd9596c72e01/,https://sun-floweries.navi.mn/,南安城駅徒歩5分,090-4116-5477,11:00～LAST
ひといき,大門駅,愛知県岡崎市井ノ口新町12-2,,,https://www.esthe-ranking.jp/toyota/shop-detail/761ddbd8-9c88-4cd2-990e-c873161d8dfe/,https://hitoiki.eei.jp/,アクセス欄に住所あり,080-2589-7552,12:00～翌 02:00
クルミ,新安城駅,"34.99565987376493, 137.08151690864992",34.99565987376493,137.08151690864992,https://www.esthe-ranking.jp/toyota/shop-detail/02238860-7044-496c-8bb3-0b6255a2e722/,https://kurumi.eeh.jp/,新安城駅から近くてアクセス抜群！,080-9511-6668,24時間営業
夢愛,豊明駅,愛知県刈谷市東境町児山413-3,,,https://www.esthe-ranking.jp/toyota/shop-detail/ba0f3586-d148-4217-8ec9-04dd5bd8e983/,https://yua.eei.jp/,アクセス欄に住所あり,070-5256-9466,11:00～LAST
蜜の香り,四郷駅,愛知県豊田市亀首町下町屋54-1,,,https://www.esthe-ranking.jp/toyota/shop-detail/6f90c3dd-44be-494d-acf0-1dec9d64282a/,https://mitsunokaori.eev.jp/,四郷駅から車で7分 最寄駅:亀首バス停 徒歩3分,080-6766-4957,13:00～翌 04:00
優姫,逢妻駅,愛知県刈谷市熊野町3丁目2,,,https://www.esthe-ranking.jp/toyota/shop-detail/a89a0ac2-119e-4fb1-895c-d5259ed1a6bf/,https://yuuhime.ddq.jp/,【熊野公園（刈谷市熊野町３丁目２）】に着きましたら、お電話ください,090-1789-5688,11:00～翌 03:00
Hot Land（ホットランド）,一ツ木駅,愛知県刈谷市一ツ木町３丁目１０−４,,,https://www.esthe-ranking.jp/toyota/shop-detail/3e3dbc1e-51fe-4045-ab58-ea70e9c25561/,https://hotland.iest.in/,【ジョーシン一ツ木店】に着きましたらお電話ください。,090-9182-9998,24時間営業
彼女の部屋,安城駅,"34.98350180242019, 136.8698326588954",34.98350180242019,136.8698326588954,https://www.esthe-ranking.jp/chita/shop-detail/d0b334b8-c749-4db2-9be8-f5315ca519ed/,https://kanojyonoheya.evv.jp/,駐車場 近隣のコインパーキングをご利用ください,080-7270-7317,11:00～翌 02:00
